 File,c:\shareddata\ronald\2017-02-28\pa\stub01\stub01.csv
 Stub,SG170216_06
 Date, 2,28,2017
 Time,16, 9
 Acc.,Voltage,10.0
 Magn:,   600
Thresholds:
 Phase,Low,Upp
   1,  23, 255
 TakeOff,37.4
 Preset,Time:,   3.0
 Elem, 5
 Data,Type:,ZAF Elem.,Wt%
 Particle, Scan,10
 Part#,Field#,Phase#,X_stage,Y_stage,X_cent,Y_cent,X_left,Y_low,X_width,Y_height,Xferet,Yferet,AvgDiam,LProj,Area,Perim,Shape,Aspe,Orient,CK,OK,AlK,SiK,UM,  CPS ,AvgVideo,StgX ,StgY ,MinCnts
  110,82, 1,   171,   855, 138, 964, 106, 938,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   9.01,  22.69,   1.33,   1.17,  65.79,  1608,130,  -0.034,   0.856,4690
  111,82, 1,   171,   855,1660,   4,1628,   0,  32,  25,    1.16,    1.16,    1.11,    1.25,   0.9639,    3.47,    0.99,    1.27, 90,   8.70,  23.26,   0.00,   0.00,  68.04,  1562,128,   0.318,   0.634,4649
  112,83, 1,   644,   855, 133,1383, 101,1359,  32,  25,    1.16,    0.93,    1.01,    1.25,   0.8033,    3.24,    1.04,    1.52, 14,   9.34,  15.93,   0.00,   0.00,  74.73,  1522,121,   0.438,   0.953,4219
  113,83, 1,   644,   855,1477, 123,1445,  97,  32,  25,    1.16,    0.93,    1.14,    1.35,   1.0175,    3.24,    0.82,    1.41, 26,   8.43,  23.03,   0.00,   0.00,  68.53,  1686,130,   0.749,   0.661,4972
  114,84, 1,  1117,   855, 391,1191, 359,1167,  32,  25,    1.16,    1.16,    1.14,    1.48,   1.0175,    3.47,    0.94,    1.69, 36,   8.62,  23.76,   0.00,   0.00,  67.62,  1572,120,   0.971,   0.908,4515
  115,85, 1,  1589,   855, 681, 858, 649, 834,  32,  25,    1.39,    1.16,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 11,   7.82,  18.84,   0.00,   0.00,  73.34,  1545,117,   1.510,   0.831,4567
  116,87, 1,  2535,   855, 709, 968, 677, 944,  32,  25,    1.39,    1.39,    1.25,    1.55,   1.2317,    4.17,    1.12,    1.54, 21,  11.86,  13.69,   1.19,   1.06,  72.20,  1323, 55,   2.462,   0.857,3880
  117,88, 1,  3009,   855,1035,1445,1003,1421,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 53,   9.62,  18.06,   1.79,   0.00,  70.53,  1527,123,   3.012,   0.967,4518
  118,88, 1,  3009,   855,1216, 587,1184, 563,  32,  25,    1.16,    0.93,    1.14,    1.35,   1.0175,    3.24,    0.82,    1.41, 26,   9.76,  18.52,   1.59,   0.00,  70.13,  1558,126,   3.053,   0.769,4423
  119,88, 1,  3009,   855,1165, 571,1133, 547,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 90,   8.95,  21.16,   1.43,   1.51,  66.94,  1531,116,   3.042,   0.765,4584
  120,89, 1,  3482,   855, 706,1330, 674,1306,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   9.10,  18.80,   0.00,   0.00,  72.10,  1497,121,   3.408,   0.941,4377
  121,89, 1,  3482,   855, 174,1056, 142,1032,  32,  25,    1.39,    1.16,    1.14,    1.48,   1.0175,    3.93,    1.21,    1.69, 36,  13.19,  16.70,   0.00,   1.47,  68.63,  1347, 76,   3.285,   0.877,3981
  122,89, 1,  3482,   855,1006,  34, 974,   0,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   9.17,  20.50,   1.88,   0.00,  68.45,  1541,122,   3.478,   0.641,4665
  123,90, 1,  3955,   855,1456,1312,1425,1287,  32,  25,    0.69,    0.69,    0.58,    0.73,   0.2678,    2.08,    1.29,    1.57, 90,  17.53,  15.68,   1.11,   1.82,  63.87,  1465, 92,   4.055,   0.936,4174
  124,90, 1,  3955,   855,1426, 762,1394, 738,  32,  25,    1.16,    0.93,    1.11,    1.35,   0.9639,    3.24,    0.87,    1.48, 26,   8.72,  19.51,   0.00,   0.00,  71.77,  1546,139,   4.048,   0.809,4540
  125,90, 1,  3955,   855, 185,  14, 153,   0,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   9.66,  20.43,   0.00,   0.00,  69.91,  1567,128,   3.761,   0.636,4586
  126,92, 1, -3613,   486,  22,1264,   0,1240,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 26,   9.19,  16.95,   0.00,   1.23,  72.63,  1555, 92,  -3.845,   0.556,4405
  127,93, 1, -3139,   486, 213, 301, 180, 277,  32,  25,    1.39,    1.16,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 11,   8.10,  21.20,   0.00,   0.00,  70.70,  1587,123,  -3.327,   0.333,4753
  128,94, 1, -2666,   486,1823,1439,1791,1415,  32,  25,    1.16,    1.16,    1.20,    1.64,   1.1246,    3.47,    0.85,    1.87, 45,   9.11,  22.17,   0.00,   0.00,  68.72,  1588,129,  -2.481,   0.597,4779
  129,95, 1, -2193,   486,1976,1258,1944,1234,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 26,   9.04,  16.77,   0.00,   0.00,  74.19,  1569,137,  -1.973,   0.555,4529
  130,95, 1, -2193,   486, 148, 759, 116, 735,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.39,  20.19,   0.00,   0.00,  71.42,  1613,107,  -2.396,   0.439,4555
  131,97, 1, -1247,   486, 649,1024, 616,1000,  32,  25,    1.39,    1.39,    1.25,    1.48,   1.2317,    4.17,    1.12,    1.40, 53,   9.75,  18.80,   0.00,   0.00,  71.45,  1500, 76,  -1.334,   0.501,4286
  132,97, 1, -1247,   486, 477, 407, 445, 383,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.01,  19.31,   0.00,   0.00,  72.68,  1585,146,  -1.374,   0.358,4662
  133,98, 1,  -774,   486,  59,1549,  27,1525,  32,  25,    1.16,    0.93,    1.08,    1.35,   0.9104,    3.93,    1.35,    1.57, 26,  16.33,  15.86,   1.25,   0.00,  66.56,  1396, 24,  -0.997,   0.622,3972
  134,98, 1,  -774,   486, 682,1136, 650,1112,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   9.72,  23.57,   0.00,   0.00,  66.72,  1516,113,  -0.853,   0.527,4402
  135,99, 1,  -302,   486, 172,1180, 140,1156,  32,  25,    1.16,    1.16,    1.14,    1.48,   1.0175,    3.47,    0.94,    1.69, 36,   8.77,  19.20,   0.00,   0.00,  72.03,  1522,121,  -0.499,   0.537,4378
  136,99, 1,  -302,   486, 445, 994, 413, 970,  32,  25,    1.16,    1.39,    1.14,    1.39,   1.0175,    3.93,    1.21,    1.49, 90,  10.12,  23.15,   0.00,   0.00,  66.73,  1577, 90,  -0.436,   0.494,4521
  137,99, 1,  -302,   486,1380, 364,1347, 340,  32,  25,    1.39,    1.39,    1.28,    1.46,   1.2852,    4.17,    1.07,    1.31, 90,  10.48,  19.60,   0.00,   0.00,  69.92,  1576,109,  -0.220,   0.348,4706
  138,99, 1,  -302,   486,1091, 178,1059, 154,  32,  25,    1.39,    1.16,    1.14,    1.46,   1.0175,    3.93,    1.21,    1.65, 11,   8.90,  12.18,   0.00,   1.23,  77.70,  1402,103,  -0.286,   0.305,4058
  139,101, 1,   644,   486, 412, 433, 380, 409,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   9.04,  23.50,   0.00,   0.00,  67.46,  1526,107,   0.502,   0.364,4552
  140,101, 1,   644,   486, 174, 105, 142,  81,  32,  25,    1.39,    1.16,    1.22,    1.55,   1.1781,    3.93,    1.05,    1.61, 21,   8.85,  19.57,   0.00,   0.00,  71.58,  1486,104,   0.447,   0.288,4354
  141,102, 1,  1117,   486,1683,1236,1651,1212,  32,  25,    1.16,    1.39,    1.25,    1.64,   1.2317,    3.93,    1.00,    1.71, 45,   9.91,  14.81,   0.00,   0.00,  75.28,  1436,108,   1.270,   0.550,4259
  142,103, 1,  1590,   486, 218,1433, 186,1409,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 26,  10.43,  18.49,   0.00,   0.00,  71.08,  1496,123,   1.403,   0.595,4513
  143,103, 1,  1590,   486,1888, 302,1856, 278,  32,  25,    1.16,    1.16,    1.11,    1.31,   0.9639,    3.47,    0.99,    1.40, 45,   8.92,  20.62,   0.00,   0.00,  70.46,  1601,107,   1.790,   0.334,4641
  144,104, 1,  2063,   486, 568,1059, 536,1035,  32,  25,    1.39,    1.16,    1.20,    1.46,   1.1246,    3.93,    1.10,    1.50, 11,   9.80,  13.61,   1.12,   1.01,  74.46,  1441, 88,   1.957,   0.509,4165
  145,105, 1,  2536,   486,1416, 840,1384, 816,  32,  25,    1.39,    1.16,    1.22,    1.48,   1.1781,    3.93,    1.05,    1.46, 53,   9.51,  19.24,   0.00,   0.00,  71.26,  1507,122,   2.627,   0.458,4370
  146,107, 1,  3482,   486,1973, 555,1941, 531,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 26,  11.61,  16.94,   1.04,   1.42,  68.98,  1589, 99,   3.702,   0.392,4554
  147,108, 1,  3955,   486, 928, 216, 897, 192,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,   8.89,  19.04,   1.38,   0.00,  70.69,  1521,124,   3.933,   0.314,4480
  148,110, 1, -3612,   115,  90, 801,  58, 777,  32,  25,    1.39,    1.16,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 53,   7.73,  15.71,   0.00,   0.00,  76.56,  1425,113,  -3.828,   0.078,4118
  149,111, 1, -3139,   115,1930, 889,1899, 865,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 90,   9.75,  14.28,   0.00,   0.00,  75.97,  1481,109,  -2.929,   0.099,4311
  150,112, 1, -2667,   115,1747,1506,1715,1482,  32,  25,    1.16,    1.39,    1.25,    1.55,   1.2317,    3.93,    1.00,    1.54, 90,   9.16,  19.88,   0.00,   0.00,  70.96,  1651,137,  -2.500,   0.241,4733
  151,112, 1, -2667,   115,1547, 427,1515, 403,  32,  25,    1.16,    1.39,    1.25,    1.46,   1.2317,    3.93,    1.00,    1.37, 90,   9.10,  21.70,   0.00,   0.00,  69.20,  1582,134,  -2.546,  -0.008,4645
  152,113, 1, -2193,   115, 598,1073, 565,1049,  32,  25,    1.39,    1.16,    1.14,    1.39,   1.0175,    3.93,    1.21,    1.49,-11,  10.34,  19.42,   0.00,   0.00,  70.25,  1592,119,  -2.292,   0.141,4531
  153,114, 1, -1720,   115,1373, 386,1341, 362,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 26,   8.18,  18.98,   0.00,   0.00,  72.84,  1636,120,  -1.639,  -0.018,4583
  154,116, 1,  -774,   115,1816,1552,1783,1528,  32,  25,    1.39,    1.16,    1.20,    1.48,   1.1246,    3.93,    1.10,    1.53, 53,   8.44,  19.65,   0.00,   0.00,  71.91,  1631, 97,  -0.591,   0.252,4744
  155,118, 1,   171,   115, 829, 610, 798, 585,  32,  25,    0.69,    0.46,    0.52,    0.69,   0.2142,    1.62,    0.97,    1.77, 90,  13.59,  20.79,   0.00,   0.00,  65.62,  1431, 98,   0.126,   0.034,4243
  156,118, 1,   171,   115, 652, 101, 619,  77,  32,  25,    1.39,    1.16,    1.17,    1.39,   1.0710,    3.93,    1.15,    1.41,-11,   9.23,  20.62,   0.00,   1.14,  69.01,  1572,114,   0.085,  -0.084,4468
  157,119, 1,   644,   115,1444,1232,1412,1208,  32,  25,    1.16,    1.39,    1.17,    1.48,   1.0710,    3.93,    1.15,    1.61, 36,  10.57,  14.54,   0.00,   0.00,  74.89,  1454,108,   0.741,   0.178,4221
  158,119, 1,   644,   115,1611, 670,1579, 646,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 26,   9.54,  22.04,   1.15,   1.22,  66.05,  1616,135,   0.780,   0.048,4663
  159,120, 1,  1117,   115, 524,1387, 492,1363,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 90,  11.56,  11.99,   0.00,   0.00,  76.45,  1474, 47,   1.001,   0.214,4090
  160,121, 1,  1589,   115,1508,1559,1476,1534,  32,  25,    1.39,    1.39,    1.28,    1.55,   1.2852,    4.17,    1.07,    1.47, 90,   8.50,  20.49,   0.00,   0.00,  71.01,  1489,115,   1.701,   0.254,4631
  161,121, 1,  1589,   115,1329, 414,1297, 390,  32,  25,    1.39,    1.16,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 11,   9.61,  16.39,   1.18,   0.00,  72.82,  1551,123,   1.660,  -0.011,4422
  162,121, 1,  1589,   115,1052, 208,1020, 184,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 26,  10.32,  20.37,   1.23,   0.00,  68.07,  1491,117,   1.595,  -0.059,4391
  163,122, 1,  2062,   115, 585, 571, 553, 547,  32,  25,    1.39,    1.16,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 11,   8.52,  20.77,   1.19,   0.00,  69.52,  1577,130,   1.960,   0.025,4543
  164,122, 1,  2062,   115, 850, 552, 817, 528,  32,  25,    1.39,    1.16,    1.28,    1.55,   1.2852,    3.93,    0.96,    1.47, 21,   7.38,  21.79,   0.00,   0.00,  70.83,  1651,145,   2.022,   0.021,4728
  165,123, 1,  2536,   115,1314,1509,1282,1485,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 53,   8.06,  16.20,   1.07,   0.00,  74.67,  1542,109,   2.603,   0.242,4503
  166,123, 1,  2536,   115,1541, 890,1509, 866,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 53,   9.56,  19.51,   0.00,   0.00,  70.93,  1524,126,   2.656,   0.099,4397
  167,124, 1,  3009,   115,1126, 378,1094, 354,  32,  25,    1.16,    1.39,    1.20,    1.46,   1.1246,    3.93,    1.10,    1.50, 90,   8.21,  21.09,   0.00,   0.00,  70.70,  1588,128,   3.033,  -0.020,4587
  168,125, 1,  3482,   115,2009,1256,1977,1232,  32,  25,    1.16,    1.39,    1.20,    1.48,   1.1246,    3.93,    1.10,    1.53, 36,  11.63,  17.17,   0.00,   0.00,  71.20,  1500, 83,   3.710,   0.183,4478
  169,125, 1,  3482,   115, 580, 631, 548, 607,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   8.55,  22.22,   0.00,   0.00,  69.23,  1643,133,   3.379,   0.039,4750
  170,126, 1,  3955,   115,1966,1178,1934,1154,  32,  25,    1.39,    1.16,    1.14,    1.55,   1.0175,    3.93,    1.21,    1.86, 21,   9.01,  16.95,   0.00,   0.00,  74.05,  1605,135,   4.173,   0.165,4756
  171,127, 1, -4085,  -253,1863,1542,1831,1518,  32,  25,    1.16,    1.16,    1.14,    1.64,   1.0175,    3.47,    0.94,    2.07, 45,   9.31,  16.05,   0.00,   0.00,  74.64,  1597, 97,  -3.891,  -0.118,4651
  172,127, 1, -4085,  -253,1441, 207,1409, 183,  32,  25,    1.16,    1.16,    1.11,    1.25,   0.9639,    3.47,    0.99,    1.27, 90,   8.92,  19.64,   0.00,   0.00,  71.44,  1625,131,  -3.989,  -0.427,4871
  173,128, 1, -3612,  -253, 315,1539, 283,1515,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,   8.98,  21.80,   0.00,   0.00,  69.22,  1488,141,  -3.776,  -0.119,4487
  174,129, 1, -3139,  -253,  38, 533,   0, 509,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   8.59,  21.67,   0.00,   0.00,  69.75,  1491,105,  -3.367,  -0.352,4448
  175,130, 1, -2666,  -253,1435,1220,1405,1193,  32,  25,    2.08,    2.31,    1.79,    2.49,   2.5169,    6.71,    1.42,    1.94, 90,   9.40,  16.85,   0.00,   0.00,  73.75,  1494, 95,  -2.571,  -0.193,4402
  176,131, 1, -2193,  -253, 498,1190, 466,1166,  32,  25,    1.39,    1.16,    1.20,    1.46,   1.1246,    3.93,    1.10,    1.50, 11,   9.60,  17.53,   0.00,   0.00,  72.87,  1387,114,  -2.315,  -0.200,4111
  177,131, 1, -2193,  -253,1395,1154,1362,1130,  32,  25,    1.39,    1.39,    1.28,    1.46,   1.2852,    4.17,    1.07,    1.31, 90,  12.17,  17.52,   1.13,   1.16,  68.01,  1440, 97,  -2.107,  -0.208,4151
  178,131, 1, -2193,  -253,1996, 796,1963, 772,  32,  25,    1.39,    1.39,    1.20,    1.48,   1.1246,    4.17,    1.23,    1.53, 53,   9.71,  19.17,   0.00,   1.32,  69.79,  1628,129,  -1.968,  -0.291,4703
  179,132, 1, -1721,  -253, 493,1491, 461,1467,  32,  25,    1.16,    1.39,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 90,   9.59,  17.58,   0.00,   0.00,  72.83,  1412,122,  -1.844,  -0.130,4238
  180,132, 1, -1721,  -253,1032,1308,1000,1284,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,  10.59,  21.43,   0.00,   0.00,  67.98,  1581,116,  -1.719,  -0.172,4617
  181,133, 1, -1248,  -253, 717,1378, 685,1354,  32,  25,    1.39,    1.39,    1.20,    1.46,   1.1246,    4.17,    1.23,    1.50, 11,   9.85,  16.03,   0.00,   0.00,  74.12,  1458,110,  -1.319,  -0.156,4355
  182,134, 1,  -774,  -253,  46, 638,   0, 614,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.87,  21.10,   0.00,   0.00,  70.03,  1496,128,  -1.000,  -0.328,4420
  183,134, 1,  -774,  -253,1595, 426,1563, 402,  32,  25,    1.16,    1.16,    1.08,    1.25,   0.9104,    3.47,    1.05,    1.34, 90,   8.28,  19.41,   0.00,   0.00,  72.30,  1636,131,  -0.642,  -0.377,4801
  184,135, 1,  -301,  -253, 158, 518, 126, 494,  32,  25,    1.39,    1.16,    1.22,    1.46,   1.1781,    3.93,    1.05,    1.43, 11,   9.23,  17.29,   0.00,   0.00,  73.48,  1514,127,  -0.501,  -0.355,4433
  185,135, 1,  -301,  -253,1543, 197,1511, 173,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,   8.53,  19.06,   0.00,   0.00,  72.41,  1593,124,  -0.181,  -0.430,4679
  186,136, 1,   171,  -253, 626,1136, 594,1112,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   7.57,  17.07,   0.00,   0.00,  75.36,  1611,105,   0.079,  -0.212,4648
  187,136, 1,   171,  -253, 368,1045, 336,1022,  32,  25,    1.39,    1.16,    1.17,    1.41,   1.0710,    3.93,    1.15,    1.45,  0,  11.01,  11.61,   0.00,   1.49,  75.89,  1413, 74,   0.019,  -0.233,4018
  188,136, 1,   171,  -253,1798, 549,1766, 525,  32,  25,    1.16,    0.93,    1.04,    1.18,   0.8568,    3.24,    0.97,    1.28,-26,   9.48,  18.12,   0.00,   0.00,  72.40,  1565, 99,   0.350,  -0.348,4592
  189,139, 1,  1590,  -253, 435,1500, 403,1476,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   8.96,  19.33,   0.00,   0.00,  71.71,  1484,120,   1.454,  -0.128,4395
  190,139, 1,  1590,  -253,2041, 296,2009, 272,  32,  25,    1.39,    1.16,    1.14,    1.41,   1.0175,    3.93,    1.21,    1.53,  0,  12.83,  20.78,   0.00,   1.74,  64.64,  1604, 80,   1.825,  -0.407,4534
  191,140, 1,  2063,  -253, 677,  40, 644,  16,  32,  25,    1.39,    1.16,    1.14,    1.39,   1.0175,    3.93,    1.21,    1.49,-11,  10.13,  20.55,   0.00,   0.00,  69.32,  1423,112,   1.983,  -0.466,4229
  192,141, 1,  2536,  -253, 414, 989, 382, 965,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,  11.97,  17.84,   1.44,   2.05,  66.70,  1506, 94,   2.395,  -0.246,4274
  193,142, 1,  3009,  -253, 538,1039, 507,1015,  32,  25,    1.16,    1.16,    1.11,    1.48,   0.9639,    3.47,    0.99,    1.79, 36,  14.17,  10.61,   0.00,   6.51,  68.70,  1447, 92,   2.897,  -0.235,3992
  194,143, 1,  3482,  -253,1811,1116,1778,1090,  32,  25,    1.39,    1.16,    1.17,    1.48,   1.0710,    3.93,    1.15,    1.61, 53,   8.90,  25.85,   0.00,   0.00,  65.25,  1630,146,   3.664,  -0.217,4824
  195,143, 1,  3482,  -253, 604, 940, 572, 916,  32,  25,    1.39,    1.16,    1.20,    1.48,   1.1246,    3.93,    1.10,    1.53, 53,  12.59,  14.33,   1.02,   1.14,  70.92,  1400, 97,   3.385,  -0.258,4065
  196,143, 1,  3482,  -253, 235, 190, 202, 166,  32,  25,    1.39,    1.16,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 53,   9.42,  17.12,   0.00,   1.66,  71.80,  1475,126,   3.299,  -0.431,4384
  197,144, 1,  3955,  -253, 226,1302, 194,1278,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 36,   9.18,  19.74,   0.00,   0.00,  71.08,  1492,130,   3.770,  -0.174,4365
  198,146, 1, -3613,  -623, 642,1491, 610,1465,  32,  25,    1.16,    1.16,    1.17,    1.48,   1.0710,    3.47,    0.90,    1.61, 53,   8.08,  26.83,   0.00,   0.00,  65.10,  1604,137,  -3.701,  -0.500,4728
  199,146, 1, -3613,  -623,  37,1374,   0,1349,  32,  25,    1.39,    0.93,    1.04,    1.46,   0.8568,    4.40,    1.80,    1.96, 11,  10.14,  22.95,   0.00,   0.00,  66.91,  1463,118,  -3.841,  -0.527,4341
  200,146, 1, -3613,  -623, 562, 444, 529, 420,  32,  25,    1.39,    1.16,    1.25,    1.46,   1.2317,    3.93,    1.00,    1.37,-30,   8.94,  17.65,   0.00,   0.00,  73.41,  1599,134,  -3.720,  -0.742,4703
  201,147, 1, -3139,  -623, 969, 742, 937, 718,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,   7.78,  17.05,   0.00,   0.00,  75.17,  1635, 98,  -3.152,  -0.673,4709
  202,148, 1, -2666,  -623,1508,1574,1476,1550,  32,  25,    1.39,    1.16,    1.25,    1.48,   1.2317,    3.93,    1.00,    1.40, 53,   8.02,  18.33,   0.00,   0.00,  73.65,  1629,141,  -2.554,  -0.481,4625
  203,148, 1, -2666,  -623, 494, 588, 462, 564,  32,  25,    1.16,    0.93,    1.08,    1.35,   0.9104,    3.24,    0.92,    1.57, 26,   9.33,  20.01,   0.00,   0.00,  70.66,  1550,111,  -2.789,  -0.709,4408
  204,150, 1, -1721,  -623, 148,1583, 116,1559,  32,  25,    1.16,    0.93,    1.04,    1.35,   0.8568,    3.93,    1.44,    1.67, 26,  12.03,  19.79,   0.00,   0.00,  68.18,  1446, 98,  -1.924,  -0.479,4219
  205,150, 1, -1721,  -623,1629, 821,1597, 797,  32,  25,    1.16,    1.16,    1.20,    1.35,   1.1246,    3.47,    0.85,    1.27, 90,   8.09,  18.29,   0.00,   0.00,  73.61,  1553,128,  -1.581,  -0.655,4416
  206,150, 1, -1721,  -623,1178, 254,1146, 230,  32,  25,    0.93,    1.16,    1.04,    1.25,   0.8568,    3.24,    0.97,    1.42, 90,   8.36,  18.48,   0.00,   0.00,  73.16,  1574,134,  -1.685,  -0.786,4541
  207,151, 1, -1247,  -623, 752, 592, 719, 568,  32,  25,    1.39,    1.39,    1.28,    1.46,   1.2852,    4.17,    1.07,    1.31, 90,   8.64,  20.70,   0.00,   0.00,  70.65,  1519,119,  -1.310,  -0.708,4567
  208,151, 1, -1247,  -623,1938, 126,1907, 102,  32,  25,    1.39,    0.69,    0.90,    1.39,   0.6426,    3.01,    1.12,    2.36,-11,  11.11,  17.23,   0.00,   0.00,  71.66,  1374, 87,  -1.035,  -0.816,4148
  209,152, 1,  -774,  -623,1950, 628,1918, 604,  32,  25,    1.39,    1.16,    1.14,    1.41,   1.0175,    4.63,    1.68,    1.53,-21,   9.93,  18.43,   0.00,   0.00,  71.64,  1530,108,  -0.560,  -0.700,4520
  210,153, 1,  -302,  -623, 332, 859, 300, 835,  32,  25,    1.16,    1.16,    1.20,    1.48,   1.1246,    3.47,    0.85,    1.53, 53,   8.66,  19.18,   0.00,   0.00,  72.16,  1571,105,  -0.462,  -0.646,4523
  211,153, 1,  -302,  -623,1998, 195,1966, 171,  32,  25,    1.39,    0.93,    1.08,    1.39,   0.9104,    3.47,    1.05,    1.66,-11,  10.60,  16.40,   1.52,   1.48,  70.01,  1512, 94,  -0.077,  -0.800,4467
  212,154, 1,   171,  -623,1584, 703,1552, 677,  32,  25,    1.39,    1.16,    1.17,    1.46,   1.0710,    3.93,    1.15,    1.57, 11,   7.58,  19.79,   0.00,   0.00,  72.63,  1697,146,   0.301,  -0.682,5002
  213,155, 1,   644,  -623, 540,1560, 508,1536,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 90,   8.42,  19.66,   0.00,   0.00,  71.91,  1545,111,   0.532,  -0.484,4517
  214,155, 1,   644,  -623, 228, 280, 195, 256,  32,  25,    1.39,    1.16,    1.17,    1.41,   1.0710,    3.93,    1.15,    1.45,  0,   8.42,  20.08,   0.00,   0.00,  71.50,  1610,109,   0.460,  -0.780,4597
  215,156, 1,  1117,  -623, 291,1442, 259,1418,  32,  25,    1.16,    1.16,    1.14,    1.35,   1.0175,    3.47,    0.94,    1.41, 90,   9.48,  20.00,   0.00,   0.00,  70.52,  1559,102,   0.947,  -0.511,4574
  216,156, 1,  1117,  -623,1787,1174,1754,1147,  32,  25,    1.62,    2.78,    1.81,    2.93,   2.5705,    6.48,    1.30,    2.62, 74,   9.74,  19.95,   1.74,   0.00,  68.58,  1572,115,   1.294,  -0.573,4485
  217,157, 1,  1589,  -623,1890,1519,1858,1494,  32,  25,    1.39,    1.39,    1.17,    1.46,   1.0710,    4.17,    1.29,    1.57, 90,   8.64,  16.35,   0.00,   0.00,  75.02,  1511,115,   1.789,  -0.494,4420
  218,157, 1,  1589,  -623,1581,   6,1549,   0,  32,  25,    1.16,    1.16,    1.11,    1.35,   0.9639,    3.47,    0.99,    1.48, 26,   8.11,  20.24,   0.00,   0.00,  71.65,  1542,120,   1.718,  -0.844,4595
  219,159, 1,  2535,  -623, 143, 778, 111, 754,  32,  25,    1.16,    1.16,    1.17,    1.35,   1.0710,    3.47,    0.90,    1.34, 90,   8.28,  22.26,   0.00,   0.00,  69.46,  1583,128,   2.331,  -0.665,4611
  220,159, 1,  2535,  -623,1028, 715, 996, 691,  32,  25,    1.39,    1.62,    1.41,    1.68,   1.5530,    4.63,    1.10,    1.44, 90,   9.53,  20.83,   0.00,   1.38,  68.26,  1551,118,   2.536,  -0.680,4500
